ID,ParentID,Name,Type,BaseFlow,InitialStage,WarningStage,BoundaryStage,Comment,ShapeX,ShapeY,ShapeZ,TextX,TextY,TextZ,TextAngle,IsPlaced
97,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N320,2,0,0,0,,,693628.065503,805978.257179,0,693631.065503,693631.065503,0.0,0,1
98,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N325,2,0,0,0,,,692311.224961,805278.604378,0,692314.224961,692314.224961,0.0,0,1
99,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N326,2,0,0,0,,,692251.839253,804241.011309,0,692254.839253,692254.839253,0.0,0,1
100,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N327,2,0,0,0,,,691673.584176,804781.296318,0,691676.584176,691676.584176,0.0,0,1
101,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N328,2,0,0,0,,,690906.711366,804899.26393,0,690909.711366,690909.711366,0.0,0,1
102,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N333,2,0,0,0,,,691247.147036,808235.563031,0,691250.147036,691250.147036,0.0,0,1
103,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N334,2,0,0,0,,,692000.836474,808837.993585,0,692003.836474,692003.836474,0.0,0,1
104,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N335,2,0,0,0,,,691278.040347,808809.811883,0,691281.040347,691281.040347,0.0,0,1
105,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N342,2,0,0,0,,,694242.494392,808242.435721,0,694245.494392,694245.494392,0.0,0,1
106,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N343,2,0,0,0,,,694582.901192,808230.457399,0,694585.901192,694585.901192,0.0,0,1
107,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N344,2,0,0,0,,,695575.797828,808034.291124,0,695578.797828,695578.797828,0.0,0,1
108,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N349,2,0,0,0,,,698027.042925,806834.640636,0,698030.042925,698030.042925,0.0,0,1
109,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N397,2,0,0,0,,,697098.686843,806880.16712,0,697101.686843,697101.686843,0.0,0,1
